MD,ELECT_DENS,TEMP,Oxi,Nit,Hyd,Hel,O2,NO
-1196.0,1956,763,28,13,840,120,0,0
-1198.0,1948,763,27,12,841,120,0,0
-1200.0,1940,763,27,12,841,120,0,0
-1202.0,1933,763,27,12,841,120,0,0
-1204.0,1925,763,26,12,842,120,0,0
-1206.0,1918,763,26,12,842,120,0,0
-1208.0,1911,763,26,12,842,120,0,0
-1210.0,1903,763,26,12,842,120,0,0
-1212.0,1896,763,25,12,843,120,0,0
-1214.0,1889,763,25,12,843,120,0,0
-1216.0,1881,763,25,12,843,120,0,0
-1218.0,1874,763,24,12,844,120,0,0
-1220.0,1867,763,24,12,844,120,0,0
-1222.0,1860,763,24,12,844,120,0,0
-1224.0,1853,763,24,12,844,120,0,0
-1226.0,1846,763,23,12,845,120,0,0
-1228.0,1839,763,23,12,845,120,0,0
-1230.0,1832,763,23,12,845,120,0,0
-1232.0,1825,763,23,12,845,120,0,0
-1234.0,1819,763,22,12,846,120,0,0
-1236.0,1812,763,22,12,846,120,0,0
-1238.0,1805,763,22,11,846,120,0,0
-1240.0,1799,763,22,11,846,120,0,0
-1242.0,1792,763,22,11,847,120,0,0
-1244.0,1785,763,21,11,847,121,0,0
-1246.0,1779,763,21,11,847,121,0,0
-1248.0,1772,763,21,11,847,121,0,0
-1250.0,1766,763,21,11,848,121,0,0
-1252.0,1759,763,20,11,848,121,0,0
-1254.0,1753,763,20,11,848,121,0,0
-1256.0,1747,763,20,11,848,121,0,0
-1258.0,1740,763,20,11,848,121,0,0
-1260.0,1734,763,20,11,849,121,0,0
-1262.0,1728,763,19,11,849,121,0,0
-1264.0,1722,763,19,11,849,121,0,0
-1266.0,1715,763,19,11,849,121,0,0
-1268.0,1709,763,19,11,850,121,0,0
-1270.0,1703,763,18,11,850,121,0,0
-1272.0,1697,763,18,11,850,121,0,0
-1274.0,1691,763,18,11,850,121,0,0
-1276.0,1685,763,18,11,850,121,0,0
-1278.0,1679,763,18,11,851,121,0,0
-1280.0,1673,763,18,11,851,121,0,0
-1282.0,1667,763,17,10,851,121,0,0
-1284.0,1662,763,17,10,851,121,0,0
-1286.0,1656,763,17,10,851,121,0,0
-1288.0,1650,763,17,10,852,121,0,0
-1290.0,1644,763,17,10,852,121,0,0
-1292.0,1639,763,16,10,852,121,0,0
-1294.0,1633,763,16,10,852,121,0,0
-1296.0,1627,763,16,10,852,121,0,0
-1298.0,1622,763,16,10,853,121,0,0
-1300.0,1616,763,16,10,853,121,0,0
-1302.0,1611,763,16,10,853,121,0,0
-1304.0,1605,763,15,10,853,121,0,0
-1306.0,1600,763,15,10,853,121,0,0
-1308.0,1594,763,15,10,854,122,0,0
-1310.0,1589,763,15,10,854,122,0,0
-1312.0,1583,763,15,10,854,122,0,0
-1314.0,1578,763,15,10,854,122,0,0
-1316.0,1573,763,14,10,854,122,0,0
-1318.0,1567,763,14,10,854,122,0,0
-1320.0,1562,763,14,10,855,122,0,0
-1322.0,1557,763,14,10,855,122,0,0
-1324.0,1552,763,14,10,855,122,0,0
-1326.0,1546,763,14,10,855,122,0,0
-1328.0,1541,763,14,10,855,122,0,0
-1330.0,1536,763,13,9,855,122,0,0
-1332.0,1531,763,13,9,856,122,0,0
